Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FR_07,Chrome 103.0.5060.134,,,2022-07-21 11:27:30,2022-07-21 11:30:13,2m - 42.688s,PASSED
,,,,,,,
Test Cases/TC_49,Chrome 103.0.5060.134,,,2022-07-21 11:27:30,2022-07-21 11:27:50,19.294s,PASSED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-07-21 11:27:31,2022-07-21 11:27:33,2.200s,PASSED
"navigateToUrl(""https://soca.ai/home"")",Chrome 103.0.5060.134,,,2022-07-21 11:27:33,2022-07-21 11:27:35,1.580s,PASSED
"click(findTestObject(""Object Repository/tc49/Page_soca.ai/a_Sign In""))",Chrome 103.0.5060.134,,,2022-07-21 11:27:35,2022-07-21 11:27:38,2.956s,PASSED
"setText(findTestObject(""Object Repository/tc49/Page_soca-dashboarduser/input_Email_form-control""), ""kp3skp.dev@gmail.com"")",Chrome 103.0.5060.134,,,2022-07-21 11:27:38,2022-07-21 11:27:38,0.720s,PASSED
"setEncryptedText(findTestObject(""Object Repository/tc49/Page_soca-dashboarduser/input_Password_form-control mb-2""), ""RigbBhfdqODKcAsiUrg+1Q=="")",Chrome 103.0.5060.134,,,2022-07-21 11:27:38,2022-07-21 11:27:39,0.452s,PASSED
"click(findTestObject(""Object Repository/tc49/Page_soca-dashboarduser/button_Sign In""))",Chrome 103.0.5060.134,,,2022-07-21 11:27:39,2022-07-21 11:27:39,0.383s,PASSED
"click(findTestObject(""Object Repository/tc49/Page_soca-dashboarduser/button_OK""))",Chrome 103.0.5060.134,,,2022-07-21 11:27:39,2022-07-21 11:27:40,0.838s,PASSED
"click(findTestObject(""Object Repository/tc49/Page_soca-dashboarduser/a_Projects""))",Chrome 103.0.5060.134,,,2022-07-21 11:27:40,2022-07-21 11:27:42,2.529s,PASSED
"click(findTestObject(""Object Repository/tc49/Page_soca-dashboarduser/button_Dashboard""))",Chrome 103.0.5060.134,,,2022-07-21 11:27:42,2022-07-21 11:27:43,1.030s,PASSED
"click(findTestObject(""Object Repository/tc49/Page_soca-ai-proctoring-dashboard/span_Schedule""))",Chrome 103.0.5060.134,,,2022-07-21 11:27:43,2022-07-21 11:27:46,2.342s,PASSED
"click(findTestObject(""Object Repository/tc49/Page_soca-ai-proctoring-dashboard/svg_-_bi-pencil-square b-icon bi""))",Chrome 103.0.5060.134,,,2022-07-21 11:27:46,2022-07-21 11:27:47,1.103s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tc49/Page_soca-ai-proctoring-dashboard/select_--Select Event Name--Ujiantesuas""), ""62cce01aaed847c7e3027d7c"", true)",Chrome 103.0.5060.134,,,2022-07-21 11:27:47,2022-07-21 11:27:48,1.161s,PASSED
"click(findTestObject(""Object Repository/tc49/Page_soca-ai-proctoring-dashboard/button_Edit""))",Chrome 103.0.5060.134,,,2022-07-21 11:27:48,2022-07-21 11:27:48,0.352s,PASSED
"click(findTestObject(""Object Repository/tc49/Page_soca-ai-proctoring-dashboard/button_OK""))",Chrome 103.0.5060.134,,,2022-07-21 11:27:48,2022-07-21 11:27:49,0.628s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-07-21 11:27:49,2022-07-21 11:27:50,0.702s,PASSED
,,,,,,,
Test Cases/TC_50,Chrome 103.0.5060.134,,,2022-07-21 11:27:50,2022-07-21 11:28:06,15.879s,PASSED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-07-21 11:27:50,2022-07-21 11:27:51,1.179s,PASSED
